compound_id,blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,kpuu_numerator,kpuu_denominator,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,cassette_mrt,full_pk_mrt,qsar_mrt
SYN-0038,0.114239,0.1065,0.010413,0.42168,0.164385,0.000264546,0.00319009,1.21098,0.615776,21.5579,0.581892,21.3981,1.83014,3.51449,1.84181
SYN-0039,0.0947959,0.094312,0.0208818,14.5544,0.186348,0.00422367,0.0429755,1.07636,1.72644,0.838212,5.59574,1.9,5.6611,4.2875,2.72872
SYN-0040,0.227881,0.0398866,0.0103603,5.55797,0.0873764,0.000333017,0.00722107,17.4235,12.7433,0.616552,17.1159,0.92,1.01068,1.32784,1.45
SYN-0041,0.1017,0.043585,0.02525,2.74985,0.0997762,0.000251685,0.00320153,0.711387,0.853763,3.07281,0.875833,1.1,3.30885,3.68684,2.24346
SYN-0042,0.101717,0.00664749,0.0103957,9.96,0.108547,0.0001113,0.000813941,2.61,2.14792,0.874139,1.22,2.14782,1.74147,2.37936,1.00576
SYN-0043,0.16349,0.0408665,0.00385316,2.04825,0.191923,0.000461956,0.00185268,1.04137,1.72644,1.04477,2.68102,2.8,1.65141,5.66954,2.16207
SYN-0044,0.0461128,0.0723362,0.0203611,5.55299,0.411641,0.00488744,0.00522793,1.21125,1.29707,0.675,3.38,0.7,11.1978,4.80144,8.35525
SYN-0045,0.110857,0.0564802,0.0018294,1.13672,0.342889,0.000112782,0.000404283,2.61839,7.65348,2.77094,31.2339,2.8,0.6223,0.414129,2.46
SYN-0046,0.213529,0.111036,0.0474,9.97048,0.150305,0.00156044,0.0104926,1.11182,0.67322,0.683021,2.90372,0.625,1.42066,1.78567,1.11489
SYN-0047,0.834633,0.533444,0.0356303,12.2637,0.159396,0.00147854,0.0268215,5.99274,1.9,1.77479,2.79089,1.8,1.13232,1.79332,1.42367
SYN-0048,2.59432,0.306357,0.0377169,3.24057,0.127923,0.0070828,0.088608,1.159,0.55,1.411,3.46175,0.708119,0.817548,0.797544,2.46
SYN-0049,0.121173,0.475487,0.104427,13.6905,0.301136,0.00182236,0.00793591,0.809257,0.780706,1.41038,0.912626,0.916125,0.33242,1.50812,1.03805
SYN-0050,2.31409,0.166457,0.0161686,50.9712,0.0680016,0.00255725,0.0407277,24.3113,21.9719,1.1914,46.3152,3.78398,10.17,4.6013,5.65
SYN-0051,0.223385,0.12158,0.0172409,4.66663,1,0.00181821,0.000756153,2.61318,1.09316,1.02916,0.949853,7.65861,4.29,4.39553,2.42121
SYN-0052,0.10892,0.0539833,0.00492763,0.4455,0.548887,0.000468053,0.00169246,2.59244,1.1,1.459,5.33,1.9,2.57477,1.09286,2.49317
SYN-0053,0.00970121,0.0198738,0.00335102,3.22608,0.602542,0.000188443,0.00044817,0.702296,0.379366,0.7893,0.573822,1.08458,3.1627,1.52036,2.12611
SYN-0054,3.96087,0.106125,0.139267,0.596,0.585345,0.049543,0.0220945,17.286,8.17174,6.40566,21.333,1.4,2.51,2.21457,2.17461
SYN-0055,0.0288467,0.169407,0.000410456,0.00440908,0.213011,0.000206605,0.000643989,0.883208,0.897939,15.7072,3.2198,8.9,1.00672,2.00359,1.7
SYN-0056,0.102577,0.10572,0.0170263,0.596,1,0.0103396,0.0106297,1.44958,1.40428,0.981425,6.63201,0.9,2.1925,2.46429,3.21324
SYN-0057,0.0424158,0.101996,0.0035949,4.5825,1,0.000801616,0.000822512,1.28562,0.889468,0.843467,2.0107,1.1,3.11396,2.44019,1.5683
SYN-0058,0.216311,0.116316,0.00736408,0.158715,0.129727,0.000726149,0.00695086,1.61488,1.70391,14.0585,5.28966,12,3.11932,2.36152,1.4592
SYN-0059,0.268838,0.143881,0.00985539,9.70286,0.132408,0.00136209,0.00880066,4.8633,4.97412,8.34636,8.16051,4.90918,4.55481,6.66183,8.30912
SYN-0060,0.137937,0.153069,0.0736,1.37101,1,0.00466773,0.00365443,2.61,2,0.952,1.43541,3.30612,0.777954,2.3226,1.15097
SYN-0061,0.30573,0.0898363,0.0359,9.31182,0.290875,0.0024947,0.00701213,3.37306,3.0684,2.108,1.53739,1.8,3.03371,4.81537,2.11384
SYN-0062,0.135946,0.190042,0.0448,19.1364,0.089086,0.0114969,0.153544,2.937,3.05128,6.23529,9.57818,0.89,0.665556,1.24582,1.09
SYN-0063,2.1372,0.169226,0.0437589,11.4624,0.143625,0.00361064,0.0136762,2.006,1.1,2.063,2.57013,8.93872,5.03883,3.50061,2.73
SYN-0064,0.118068,0.235531,0.00267738,0.887428,0.273099,0.000801616,0.00255396,1.02296,0.5,3.48921,1.52453,11.3189,2.30796,2.77799,1.88
SYN-0065,1.79422,1.3124,0.0252631,0.696584,1,0.0483006,0.0243571,2.21658,4.32967,7.33735,9.48617,1.9,2.99061,2.59334,3.61937
SYN-0066,0.21432,0.0938566,0.20357,18.0267,0.536853,0.00902163,0.00844112,2.21444,1.69246,8.18921,0.958513,2.6,1.38855,2.45475,1.33657
SYN-0067,0.0838302,0.293106,0.0493216,13.6828,0.201068,0.0018798,0.010818,2.289,3.06862,4.86532,3.22,4,1.82548,1.08138,1.57252
SYN-0068,1.66922,0.13993,0.0376863,1.83209,0.236247,0.00785113,0.0269991,9.52268,1.90439,1.09706,5.3496,2.54682,2.20314,2.81252,1.58409
SYN-0069,0.711645,2.22205,0.00689644,1.38465,0.24823,0.0125277,0.0155274,1.22599,0.900859,37.4817,1.91905,11.4659,1.68618,4.21362,1.85
SYN-0070,6.85682,1.02881,0.0713608,5.05111,0.264324,0.043903,0.14117,1.95071,0.844358,1.1788,2.69614,1.1,1.04673,2.15396,0.76623
SYN-0071,0.232752,0.413609,0.0256261,5.87049,0.244436,0.0104635,0.0374858,4.47976,2.33713,5.64815,3.47047,1.43248,0.264552,2.34765,0.376063
SYN-0072,0.0063993,0.0515957,0.0147687,2.02591,1,0.000333017,0.000399715,0.558245,0.778987,0.707706,0.742774,0.654525,0.396026,1.87033,1.03
SYN-0073,0.346586,0.29715,0.0017,1.62034,0.524227,0.00151328,0.00225301,1.34157,1.83511,0.822335,5.75262,0.99,7.64524,4.38184,5.65215
SYN-0074,2.42555,0.457777,0.0252997,8.13572,0.123507,0.0018432,0.0137298,1.592,2.24625,2.063,0.856706,1.8,1.32909,3.14914,0.846447
SYN-0075,0.0181566,0.284087,0.0288343,9.43426,1,0.00655523,0.00233791,1.09649,0.724568,1.16124,0.675,1.2,12.1584,5.75897,5.87411
SYN-0076,0.868054,0.0943873,0.010355,9.48538,1,0.0118557,0.0132704,4.8858,1.51985,4.13363,4.06389,4.27324,1.44401,3.91218,3.70046
SYN-0077,1.83819,3.20697,0.00155304,0.989302,0.186253,0.00355088,0.0320834,2.6187,2.81901,6.579,3.22,6.61316,3.24661,2.70272,3.71696
SYN-0078,0.323222,0.0548,0.0474,1.70196,0.766812,0.0012038,0.00413827,2.61,2.38402,1.03956,2.44223,0.76,0.39686,0.660519,0.652158
SYN-0079,0.0274251,0.10572,0.0017,1.19433,0.105067,0.0002508,0.00117087,1.202,1.04013,0.610057,1.14,1.1,1.7503,3.36026,2.37292
SYN-0080,0.0338083,0.0155392,0.000865957,0.454631,0.0810588,0.0001113,0.000734778,1.95598,2.01812,1.19019,1.99881,1.8,0.724,2.1592,1.3709
SYN-0081,0.217434,0.545222,0.0252668,0.146498,0.400901,0.00116673,0.00211237,0.422567,0.415742,0.87489,0.504583,0.92,3.9113,4.5775,6.01487
SYN-0082,0.203655,0.209108,0.0170118,8.13967,0.177674,0.00201516,0.00609855,2.937,1.82236,0.806257,6.74976,2.6,2.37341,3.6927,1.63642
SYN-0083,0.53633,0.184468,0.00114065,0.511196,0.0337676,0.000114098,0.0016104,2.61,1.4,2.09466,0.876934,3.5,2.02151,2.48109,2.45473
SYN-0084,0.0435117,0.0512532,0.0127063,1.85667,0.781707,0.00133161,0.00425864,1.27555,1.90519,4.28623,1.69705,17.0608,5.21899,3.9512,2.73
SYN-0085,9.37541,0.193205,0.0903207,4.46157,0.0809659,0.0149692,0.148309,12.1309,4.65708,7.68971,12.0835,10.8738,2.33146,1.71491,1.6
SYN-0086,0.216405,0.242091,0.0174,1.64971,0.145233,0.00169508,0.00918121,0.809984,1.08393,1.07374,0.698067,1.8,0.65699,4.75038,0.664377
SYN-0087,0.213599,0.0539833,0.0332989,2.59091,0.367356,0.00516316,0.0140889,2.48175,2.89941,1.19015,30.1389,2.56366,0.774381,2.27021,1.87805
SYN-0088,1.23168,0.0832581,0.15315,19.1364,0.426755,0.0215523,0.0420799,7.81067,2.10397,1.40944,3.22,1.1,3.26964,2.86966,1.33671
SYN-0089,0.0642682,0.163406,0.0314,4.12541,1,0.00545421,0.00289154,0.485178,0.45,5.14281,0.756829,1.5,2.40218,1.67146,1.36775
SYN-0090,6.96111,0.169273,0.00824472,1.54606,0.571938,0.00355658,0.0064354,33.1726,21.0179,19.3446,46.898,29.9197,1.9377,2.31734,1.58
SYN-0091,0.712479,0.826948,0.0763729,0.871946,1,0.043903,0.0109749,4.14973,2.36024,2.64002,2.28,2.8,1.125,0.37654,0.973702
SYN-0092,0.755642,0.175176,0.00265265,0.596,0.0359704,0.00311108,0.038032,1.20163,1.29925,8.226,3.53,5.3,1.02051,2.59399,0.687104
SYN-0093,0.00825217,0.0393607,0.0653625,40.0943,1,0.00466773,0.00225015,1.0367,0.7,0.470682,3.94,0.878031,0.400235,0.397972,0.75281
SYN-0094,1.63558,0.485522,0.0536868,14.524,0.0776514,0.0106603,0.148309,9.64013,2.19233,5.53858,5.59603,3.14035,0.75339,0.892063,0.991086
SYN-0095,0.266044,0.209832,0.0189024,9.61447,0.68389,0.00685298,0.0111713,1.74677,1.03963,2.10469,1.18901,1.9,3.89756,4.92383,3.12043
SYN-0096,0.280618,2.19977,0.0167947,3.79871,0.669859,0.043903,0.00533777,0.856629,1.3244,16.4848,1.04484,10.7077,3.08097,4.17643,2.17
SYN-0097,0.20393,0.141533,0.0087,2.34416,1,0.00547805,0.00185934,3.99747,1.94928,8.41181,7.37014,5.3427,1.87767,0.422107,1.79221
SYN-0098,0.0136185,0.0416606,0.0064,7.10395,0.266302,0.000118001,0.000425495,1.06078,0.70612,5.43599,0.786344,2.27957,2.72479,3.46757,2.38701
SYN-0099,0.199537,1.10444,0.0503,13.2461,0.581723,0.0483006,0.0136777,1.12016,2.27788,3.55431,8.71558,5.3,1.42109,1.956,1.23394
SYN-0100,0.044813,0.0548,0.0539,5.5575,0.224355,0.00189992,0.0147736,0.943974,0.798634,0.601061,0.743387,0.64,3.73156,2.69599,2.58
SYN-0101,0.897713,0.470808,0.00395736,0.4455,0.12099,0.00147451,0.0143299,5.13855,7.85838,37.3297,38.7868,28.8237,0.600372,0.344115,1.00933
SYN-0102,0.778776,0.255159,0.103648,22.6532,0.577127,0.00788044,0.0137445,3.87256,1.35111,0.715772,8.2707,1.1,0.788438,0.339795,0.817761
SYN-0103,0.767943,0.474872,0.00671966,0.20947,0.446362,0.00685298,0.00918121,2.35492,2.35789,59.1136,4.37153,7.6,2.98963,1.6773,2.62495
SYN-0104,1.21054,10.1432,0.00414948,9.96667,1,0.0496125,0.0289972,0.618115,0.493767,17.388,0.543591,2.93228,1.31191,4.60622,1.67508
SYN-0105,0.4029,0.178163,0.00162894,1.39679,0.228901,0.00085801,0.00256026,5.22852,1.82711,0.986757,7.79193,3.2,4.28173,3.87806,4.61348
SYN-0106,0.246866,1.29503,0.014821,0.512363,1,0.0207684,0.00255668,2.21313,1.57709,14.8064,1.55021,1.1,2.42069,1.67875,1.94412
SYN-0107,0.305768,0.101258,0.0946084,2.33799,0.16689,0.0196174,0.115708,3.66918,3.06495,0.858813,12.3905,1.1,2.92,1.50622,1.7
SYN-0108,1.70051,0.42727,0.0362819,28.4643,0.168323,0.0116183,0.082476,0.785775,0.837962,0.805219,2.72,1.5,1.38,5.13858,2.24383
SYN-0109,0.686803,1.02416,0.00267606,0.710063,1,0.0439848,0.0122754,2.99703,0.724568,0.798245,1.06,1.4,1.09122,3.455,1.09554
SYN-0110,0.238347,1.63391,0.00201135,4.00393,0.0769689,0.00341133,0.0451169,1.172,0.625457,22.6419,0.74171,18,2.23578,3.02747,0.817
SYN-0111,0.767407,0.454336,0.0162345,1.38565,0.119895,0.00169737,0.0157863,1.264,0.81602,1.23729,1.14,2,2.56906,3.68987,2.5063
SYN-0112,0.213141,0.00882,0.0637671,0.175821,0.115612,0.0001113,0.000675268,0.491654,0.7,0.71356,2.54109,2.47099,0.348459,1.40396,0.742948
SYN-0113,0.134507,0.252076,0.0113972,0.989281,0.138016,0.00258951,0.00696715,1.09414,0.7,1.77192,0.956751,1.6,0.974655,2.1693,1.00686
SYN-0114,0.117609,0.144131,0.00717175,2.59445,0.190534,0.00466773,0.0134611,1.27833,0.617829,7.84768,1.16453,15,1.415,4.33397,2.18924
SYN-0115,0.312877,10.2744,0.000352072,0.288112,0.642524,0.0216764,0.00789822,1.47699,1.07535,17.2808,1.0505,4.7,3.44192,3.1483,2.73
SYN-0116,1.29622,0.057058,0.0183,2.58302,0.384805,0.0033979,0.00601699,2.024,0.856336,1.315,2.74001,0.922406,2.21945,1.45379,1.16
SYN-0117,0.377993,0.10572,0.0103996,3.20056,0.017073,0.00029874,0.0374858,2.937,4.34255,1.17361,7.52151,1,2.45,4.20047,1.03
SYN-0118,0.369299,0.255395,0.0253141,8.13414,0.268741,0.00494484,0.0238857,6.80541,1.04505,6.23079,3.66,2.62941,0.723678,3.62176,1.31
SYN-0119,0.75068,0.0896215,0.0312042,10.4088,1,0.0341025,0.0148439,0.634719,0.5,7.89839,0.794854,7.8,1.33647,4.6868,1.86845
SYN-0120,2.57693,6.49183,0.19273,15.1708,0.489622,0.068472,0.1782,17.3506,3.81237,59.0685,3.38268,27.6877,3.14685,3.79997,1.65
SYN-0121,0.0531005,0.109401,0.0574,4.4658,1,0.00957186,0.00213008,0.785396,0.499729,2.41792,0.557867,3,2.60916,4.3842,2.04796
SYN-0122,0.106553,0.346037,0.02525,2.6785,0.353962,0.00545084,0.00612361,7.146,2,1.40602,8.79613,1.4,3.81846,5.72252,5.94954
SYN-0123,4.21682,0.801156,0.0327011,9.41365,0.140755,0.0191215,0.14117,3.23459,2.01448,3.52533,3.40403,1.8,2.8,5.5979,2.19483
SYN-0124,0.0362761,0.029994,0.00226415,0.354204,0.160414,0.0001113,0.000405155,1.05596,1.2,4.43061,1.44,6.31756,3.1913,4.2875,3.69396
SYN-0125,0.0945143,0.440798,0.0023496,1.25053,0.224203,0.000209523,0.000675268,0.678653,0.674961,2.605,0.9404,2.62507,2.63061,5.50294,2.15369
SYN-0126,0.747619,2.20839,0.0087,7.17286,0.233282,0.00705045,0.0316099,1.99107,1.3586,13.798,1.22,6.4,6.30306,3.455,5.65
SYN-0127,1.83732,0.0567979,0.0621,2.07197,0.198735,0.0226981,0.0429782,11.2281,2.69643,9.763,11.9096,2.6,0.346976,2.01078,2.37918
SYN-0128,7.14706,0.474472,0.0299,1.55112,0.495946,0.0129173,0.0132747,1.29373,2.19093,2.0823,1.35247,3.5,2.45,4.93084,2.26665
SYN-0129,3.92845,0.141902,0.0183,2.59167,0.540788,0.010146,0.0471109,1.96848,1.88355,3.62,4.08408,1.8,1.38,1.21632,1.29319
SYN-0130,0.108455,0.2521,0.0457338,13.1848,0.155502,0.00491374,0.0313717,1.95529,0.5,0.951471,1.38,0.798218,3.90993,4.60109,2.2
SYN-0131,0.0999284,0.0569352,0.00958289,16.9793,0.478149,0.00133161,0.00522105,4.74877,2,0.617322,4.39,1.5,1.38729,0.875087,1.76
SYN-0132,0.903047,0.1065,0.193489,11.1751,0.0186579,0.00337548,0.147974,10.626,18.3953,1.85597,6.40594,1,1.88681,3.88007,1.14905
SYN-0133,0.0194836,0.184483,0.0259549,2.45367,1,0.00183523,0.00114074,2.50925,1.25233,4.55536,2.73331,1.9,1.41935,2.81033,3.1937
SYN-0134,0.562507,3.98348,0.0188829,1.24889,1,0.00382298,0.00135181,0.544487,0.236764,2.22024,0.902599,3.6,2.45,1.67513,2.17
SYN-0135,0.0442623,0.00851371,0.0574,4.44316,0.242912,0.000256177,0.000756781,3.54775,3.51099,1.32727,3.66,3.52502,2.69404,2.78397,1.24866
SYN-0136,2.51991,0.53067,0.0474,9.96054,0.722808,0.0509231,0.116525,1.694,1.30293,0.952,6.27276,3.2,2.46453,3.17542,0.995606
SYN-0137,0.285669,0.102412,0.0043922,1.19433,1,0.000810271,0.00076683,2.289,2.87475,14.9945,5.31457,9.61307,1.76872,2.58345,1.03498
SYN-0138,2.19706,1.22934,0.00824701,0.252336,1,0.043903,0.0133456,3.671,2.12201,1.44981,29.6258,1.4,3.18832,2.71181,2.6481
SYN-0139,0.14849,0.0572323,0.0359,13.68,0.086962,0.00219624,0.0259321,6.48307,1.77826,15.6498,20.6257,6.72974,1.00575,0.763613,2.33254
SYN-0140,3.31345,1.02881,0.00865207,3.56681,0.661765,0.0526204,0.123462,8.82395,4.48202,4.08751,4.03415,2.8,0.944958,2.96169,0.979818
SYN-0141,6.96111,9.24423,0.00755722,3.77466,0.309806,0.0196174,0.0734421,0.583159,0.5,0.816872,0.522296,0.931289,2.31514,3.71833,1.32701
SYN-0142,0.21645,0.138954,0.0557787,6.26906,0.196825,0.00249331,0.0132747,2.83189,5.12556,13.798,3.64829,4.86436,0.318576,1.21251,0.716626
SYN-0143,0.232361,1.12915,0.00183899,3.57254,0.586794,0.0112678,0.0154365,1.70107,1.71307,0.872873,3.21238,3.57533,2.31394,3.6677,2.04061
SYN-0144,0.0849947,0.261388,0.00402,6.12598,0.608264,0.00249459,0.00522793,1.11906,0.889343,4.24182,1.34622,5.69256,1.60214,2.78804,0.75221
SYN-0145,0.227495,0.0548776,0.128777,26.1233,0.137481,0.00182236,0.0429755,3.59278,3.01642,0.551,3.65746,0.592021,1.33712,2.2737,1.36
SYN-0146,0.15899,0.0314509,0.0404888,3.52674,0.895449,0.000460411,0.000747935,1.28966,1,0.652079,0.845934,0.624167,2.45794,2.65759,1.56306
SYN-0147,0.53633,0.1065,0.162426,9.46004,0.426071,0.0165255,0.0229999,3.42075,8.88463,2.23971,12.8182,1.2,1.50504,3.50309,3.67754
SYN-0148,1.63993,0.291234,0.22502,6.52801,0.322013,0.0550938,0.147631,0.999702,1.9,4.47949,0.911711,1,0.42534,2.11048,0.817
SYN-0149,0.0968374,0.101961,0.0068,11.2091,0.856901,0.00374622,0.00323369,0.828188,0.5,1.24008,2.75593,1.2,3.5541,2.42635,2.86758
SYN-0150,0.291855,0.093283,0.142294,9.76386,0.8327,0.0216764,0.00794489,2.36,3.01614,1.38644,4.96022,1.1,2.445,1.04114,1.28
SYN-0151,0.0459901,0.0476397,0.0539,18.1652,0.425392,0.00150945,0.00302174,4.87199,7.25,1.06146,2.55,1.1,2.26085,0.999367,1.28935
SYN-0152,0.894164,1.12814,0.0311545,2.18361,0.792045,0.0483006,0.00171703,0.825787,1,2.57958,0.959626,1.2,2.59983,2.5162,3.6972
SYN-0153,0.0466919,0.0560667,0.193478,3.7683,0.272886,0.000457333,0.00236032,0.67612,0.5,0.349091,0.565341,0.427117,2.69992,3.03194,2.40088
SYN-0154,0.277452,0.0603826,0.0469846,1.38565,0.462758,0.00342456,0.00225015,2.20824,1.4,2.063,4.76409,3.60652,2.19918,2.46488,2.82062
SYN-0155,1.43676,0.837287,0.0164773,2.5277,0.904617,0.0216764,0.00727259,17.286,3.39353,2.6497,12.435,5.4,5.4051,3.5332,3.90864
SYN-0156,0.0680135,0.142675,0.0184876,9.57126,0.806341,0.00380681,0.00789889,0.131931,0.302964,0.272707,0.488299,0.410707,5.267,4.42225,8.39346
SYN-0157,0.100753,0.124202,0.0139603,15.4944,0.535702,0.00143193,0.0108021,1.15899,0.629566,0.962824,1.47384,3.08628,1.6946,0.845141,0.880882
SYN-0158,3.35614,0.209732,0.00756556,12.161,0.0388382,0.00278384,0.0450944,30.5933,19.4334,0.733279,46.9637,1.82226,2.30876,2.60127,1.2851
SYN-0159,0.133409,0.251052,0.0183,10.6383,0.341675,0.00465888,0.0137372,2.79276,1,13.798,0.664655,7.63413,2.8,1.55029,2.1982
SYN-0160,0.00874041,0.0402307,0.00198717,0.479608,0.832818,0.000133245,0.000399715,0.938739,0.799162,0.674074,3.03291,1.1,6.82945,4.60355,7.73449
SYN-0161,0.1017,0.1065,0.0250559,6.47027,0.692926,0.0061416,0.00413936,10.2156,1.21423,47.2457,4.77042,17.8447,4.41154,4.68315,3.93687
SYN-0162,0.0830911,1.02387,0.00399332,0.25857,0.917913,0.00548221,0.00352328,0.502415,0.442756,4.68086,0.514624,6.4,3.25777,3.795,1.28391
SYN-0163,0.363077,0.469528,0.0069,2.06908,0.215727,0.00198158,0.00413643,2.20448,1.48103,0.790877,5.65275,1.4,2.90928,3.38091,1.67921
SYN-0164,7.78335,4.88939,0.0189176,1.28692,0.959475,0.0566525,0.0722087,5.00192,1.95,2.55983,2.41042,1.1,11.45,5.9689,8.5542
SYN-0165,1.74662,0.235402,0.0539,2.37618,0.991066,0.0514909,0.00805529,1.23531,1.06576,1.41811,1.42884,2.88155,1.125,1.51052,1.01027
SYN-0166,0.266456,0.126637,0.0761389,34.177,1,0.0492884,0.0100762,10.1039,7.90944,0.7921,2.8909,1.3,4.28437,3.78928,2.02
